tag, input_file, output_directory, collimator_length
20mm_3phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_3phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_3phi_alpha_noscreen,20
20mm_4phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_4phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_4phi_alpha_noscreen,20
20mm_7phi_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_7phi_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_7phi_alpha_noscreen,20
20mm_2phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_2phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_2phi_alpha_screen,20
20mm_3phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_3phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_3phi_alpha_screen,20
20mm_4phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_4phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_4phi_alpha_screen,20
20mm_7phi_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_7phi_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_7phi_alpha_screen,20
1mm_nocollimator_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_nocollimator_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_nocollimator_alpha_noscreen,1
1mm_nocollimator_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_1mm_nocollimator_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/1mm_nocollimator_alpha_screen,1
3mm_nocollimator_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_nocollimator_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_nocollimator_alpha_noscreen,3
3mm_nocollimator_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_3mm_nocollimator_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/3mm_nocollimator_alpha_screen,3
7mm_nocollimator_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_nocollimator_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_nocollimator_alpha_noscreen,7
7mm_nocollimator_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_7mm_nocollimator_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/7mm_nocollimator_alpha_screen,7
20mm_nocollimator_noscreen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_nocollimator_alpha_noscreen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_nocollimator_alpha_noscreen,20
20mm_nocollimator_screen,/mnt/homes/ychoi/entry_test/geant4/plot/incident_plot_20mm_nocollimator_alpha_screen.root,/mnt/homes/ychoi/entry_test/geant4/plot/20mm_nocollimator_alpha_screen,20
L1F2AX_W082,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W082.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W082,1
L1F2AX_W085,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W085.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W085,1
L1F2AX_W088,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W088.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W088,1
L1F2AX_W091,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W091.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W091,1
L1F2AX_W094,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W094.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W094,1
L1F2AX_W097,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W097.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W097,1
L1F2AX_W100,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W100.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W100,1
L1F2AX_W103,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W103.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W103,1
L1F2AX_W106,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W106.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W106,1
L1F2AX_W109,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W109.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W109,1
L1F2AX_W112,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W112.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W112,1
L1F2AX_W115,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W115.root,/mnt/homes/ychoi/entry_test/geant4/systematic/plot/SL1F2AX_W115,1
