tag, output_directory, name, y_range, plot_list
3mm_nocollimator_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_3mm_nocollimator_alpha, 9E-01 2E+05, 3mm_nocollimator_alpha
7mm_2phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_7mm_2phi_alpha, 9E-01 2E+05, 7mm_2phi_alpha
7mm_3phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_7mm_3phi_alpha, 9E-01 2E+05, 7mm_3phi_alpha
7mm_4phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_7mm_4phi_alpha, 9E-01 2E+05, 7mm_4phi_alpha
7mm_7phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_7mm_7phi_alpha, 9E-01 2E+05, 7mm_7phi_alpha
7mm_nocollimator_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_7mm_nocollimator_alpha, 9E-01 2E+05, 7mm_nocollimator_alpha
20mm_2phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_20mm_2phi_alpha, 9E-01 2E+05, 20mm_2phi_alpha
20mm_3phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_20mm_3phi_alpha, 9E-01 2E+05, 20mm_3phi_alpha
20mm_4phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_20mm_4phi_alpha, 9E-01 2E+05, 20mm_4phi_alpha
20mm_7phi_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_20mm_7phi_alpha, 9E-01 2E+05, 20mm_7phi_alpha
20mm_nocollimator_alpha, /mnt/homes/ychoi/entry_test/result/clustersize_alpha, clustersize_20mm_nocollimator_alpha, 9E-01 2E+05, 20mm_nocollimator_alpha
1step, /mnt/homes/ychoi/entry_test/result/arrange, clustersize_10deg, 9E-01 2E+05, 20mm_2phi_alpha 7mm_2phi_alpha
